Playlist,Track_Name,Artist,Popularity,Album_Name
Discover Weekly,Boulevard - RAC Mix,Swaine Delgado,35,Boulevard (RAC Mix)
Discover Weekly,ALIVE,Hanni El Khatib,29,FLIGHT
Discover Weekly,Freediving,Nigo,34,Ape Sounds
Discover Weekly,1995,The Range,31,Mercury
Discover Weekly,Catch a Feeling,SEEM,43,Catch a Feeling
Discover Weekly,Airwolf Six,Various Artists,44,"We Are Friends, Vol. 9"
Discover Weekly,Tonight (feat. Ezra Koenig),Phoenix,56,Alpha Zulu
Discover Weekly,Enough - Baltra Remix,Appleby,36,Enough (Baltra Remix)
Discover Weekly,I'm Your Dog,MACKandgold,34,I'm Your Dog
Discover Weekly,No Drones in the Afterlife,Skeleten,29,No Drones in the Afterlife
Discover Weekly,Ball - Remix,Eryn Martin,33,Still Ballin'
Discover Weekly,Falling (OFF THE EDGE!),Cayo Coco,31,A Beautiful Moon
Discover Weekly,EMBERS,Angrybaby,40,EMBERS
Discover Weekly,Autopilot,Dev Lemons,42,Autopilot
Discover Weekly,To The Floor,Lil Silva,42,Yesterday Is Heavy
Discover Weekly,Dreamcatcher - Night Mix,Robotaki,43,Dreamcatcher (Night Mix)
Discover Weekly,Domino,Myd,39,Born a Loser (Deluxe Edition)
Discover Weekly,Pool Party,Inteus,45,Pool Party
Discover Weekly,Being Pulled - Polar Inc. Remix,Blonde Maze,47,Being Pulled (Polar Inc. Remix)
Discover Weekly,Rocket On My Feet - Remix,St. Lucia,30,Rocket On My Feet (Remix)
Discover Weekly,Paralysis,Sophia Bel,26,"Princess of the Dead, Vol. II"
Discover Weekly,Veins Detached,Daktyl,35,UNREALITY
Discover Weekly,Boomerang,Jase Harley,31,American Heathen
Discover Weekly,Knock the Wind Out,Von Storm,38,Knock the Wind Out
Discover Weekly,Oceans,Rosbeh,42,Oceans
Discover Weekly,u an i,Olukara,34,u an i
Discover Weekly,Frankie & Levan,Zach Witness,29,Sing the Dance Electric
Discover Weekly,Blazin',Dreamers Delight,40,Blazin'
Discover Weekly,Type A (feat. sos),Harvey Sutherland,18,Boy
Discover Weekly,TO FIND LOVE IS TO SEEK THE END - Ivy Lab Remix,Little Snake,32,TO FIND LOVE IS TO SEEK THE END (Ivy Lab Remix)
Daily Mix 4,Find a Way,A Tribe Called Quest,60,The Love Movement
Daily Mix 4,HOLD,Caleb Peters,42,HOLD
Daily Mix 4,"Flava in Ya Ear Remix (feat. Notorious B.I.G., L.L. Cool J, Busta Rhymes, Rampage)",Craig Mack,54,Flava In Ya Ear Remix
Daily Mix 4,Montego Slay,People Under The Stairs,49,Acid Raindrops
Daily Mix 4,Let Me Down,Oliver Tree,60,Ugly is Beautiful
Daily Mix 4,Grown Up,Danny Brown,58,Grown Up
Daily Mix 4,Come Down,Anderson .Paak,61,Malibu
Daily Mix 4,Check the Rhime,A Tribe Called Quest,63,The Low End Theory
Daily Mix 4,Feel Good Inc.,Gorillaz,81,Demon Days
Daily Mix 4,Work,Gang Starr,63,Moment Of Truth
Daily Mix 4,Feather (feat. Cise Starr & Akin from CYNE),Nujabes,60,Modal Soul
Daily Mix 4,Miss You,Oliver Tree,88,Miss You
Daily Mix 4,Party And Bullshit,Various Artists,69,Whos The Man ? Soundtrack
Daily Mix 4,Put Me Thru,Anderson .Paak,53,Malibu
Daily Mix 4,Dis Generation,A Tribe Called Quest,43,We got it from Here... Thank You 4 Your service
Daily Mix 4,Detroit,Gorillaz,49,The Fall
Daily Mix 4,Heart Of The City (Ain't No Love),JAY-Z,60,The Blueprint (Explicit Version)
Daily Mix 4,93 'Til Infinity,Souls Of Mischief,69,93 'til Infinity
Daily Mix 4,Alien Boy - Big Data Remix,Oliver Tree,33,Alien Boy (Big Data Remix)
Daily Mix 4,What's Golden,Jurassic 5,58,Power In Numbers
Daily Mix 4,Off The Ground,Anderson .Paak,44,Venice
Daily Mix 4,We The People....,A Tribe Called Quest,50,We got it from Here... Thank You 4 Your service
Daily Mix 4,On Melancholy Hill,Gorillaz,74,Plastic Beach
Daily Mix 4,Color of Autumn,Nujabes,50,Spiritual State
Daily Mix 4,Runnin',The Pharcyde,62,Labcabincalifornia (Deluxe Edition)
Daily Mix 4,Life Goes On,Oliver Tree,75,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)"
Daily Mix 4,It Was A Good Day,Ice Cube,79,The Predator
Daily Mix 4,Get By,Talib Kweli,54,Quality
Daily Mix 4,Whateva Will Be,A Tribe Called Quest,46,We got it from Here... Thank You 4 Your service
Daily Mix 4,Harder Than You Think,Public Enemy,59,How You Sell Soul to a Soulless People Who Sold Their Soul?
Daily Mix 4,Dealer's Gone - DJ_Dave Edit,DJ_Dave,32,Dealer's Gone - DJ_Dave Edit
Daily Mix 4,No Church In The Wild,JAY-Z,72,Watch The Throne (Deluxe)
Daily Mix 4,"U Say (feat. Tyler, The Creator & Jay Prince)",GoldLink,55,Diaspora
Daily Mix 4,Still Strugglin',Various Artists,61,This Is East Coast Hip Hop
Daily Mix 4,All Bets Are Off,Oliver Tree,46,All Bets Are Off
